"","unix","low","high","open","close","BTC-USD volume"
"32",1613865600,55531.23,58367,55921.44,57489.16,13530.43444443
"33",1613779200,54000.1,57563.57,55983.57,55923.52,22137.82194494
"34",1613692800,50725,56370.05,51596,55983.56,27961.48197104
"35",1613606400,50875,52549.99,52170.01,51601.73,15689.40275173
"36",1613520000,48942.87,52640.35,49141.43,52170.01,25675.171441
"37",1613433600,47051.22,50645,47935.66,49158.71,23053.20561135
"38",1613347200,45768.46,49093.44,48667.23,47936.37,19432.15278111
"39",1613260800,47100.13,49700,47240.75,48680.69,15146.55244091
"40",1613174400,46300,48199,47408.34,47232.45,12020.8773325
"41",1613088000,46300,48912,47993.6,47408.34,23503.15583529
"42",1613001600,44011,48690,44850,47997.91,26222.60477552
"43",1612915200,43706.86,47349.99,46514.73,44850,25818.01157857
"44",1612828800,45020,48200,46453.66,46514.73,36418.79365116
"45",1612742400,38057.01,46750,38871.43,46448.1,47934.0103883
"46",1612656000,37371.35,39737.83,39266.1,38871.42,20297.87256102
"47",1612569600,38250,41000,38327.09,39265.43,27102.80602941
"48",1612483200,36605.87,38349,36976.59,38311.49,17842.70173175
"49",1612396800,36156.45,38769,37688.42,36975,31699.36292316
"50",1612310400,35393.8,37723.72,35513,37678.37,23781.96945181
"51",1612224000,33450,36000,33534.39,35512.67,19995.83908338
"52",1612137600,32333,34728.57,33137.75,33533.19,21975.41378272
"53",1612051200,32200,34387.75,34315.63,33137.74,16436.39757593
"54",1611964800,32852.86,34900,34262.11,34315.63,21362.15173754
"55",1611878400,31990,38570.13,33487.92,34262.11,72641.07974951
"56",1611792000,29902.14,34000,30414.11,33488.99,36007.06269488
"57",1611705600,29156,32584.62,32510.82,30407.13,46207.08537355
"58",1611619200,30830,32960.37,32260.52,32510.82,23535.83891688
"59",1611532800,31920.8,34888,32293.18,32261.87,23045.66293389
"60",1611446400,30931.21,33086.53,32110,32288.56,13618.80097809
"61",1611360000,31432.19,33488.79,32982.66,32112.01,16139.81478284
"62",1611273600,28732,33867,30855.9,32984.93,48155.72161708
"63",1611187200,30011,35628.24,35498.85,30855.95,50473.11375071
"64",1611100800,33387.01,36415.34,35921.91,35503.09,25445.70800774
"65",1611014400,35895.11,37857,36624.23,35917.28,18904.77910604
"66",1610928000,34736.46,37402,35820.01,36624.23,16609.64108414
"67",1610841600,33850.03,36860,36004.8,35820,19182.04934663
"68",1610755200,35372.59,37948,36754.6,36006.94,20861.42545209
"69",1610668800,34298.93,39697,39123.05,36754.67,36421.05918785
"70",1610582400,36751.11,40127.66,37393.67,39125.14,31868.76049365
"71",1610496000,32309.04,37888,34035.53,37393.66,39608.73718747
"72",1610409600,32500,36604.51,35456.89,34038.98,48227.62752035
"73",1610323200,30100,38273.88,38168.89,35452.59,102503.15672849
"74",1610236800,34444,41452.12,40257.43,38171.57,43736.57031589
"75",1610150400,38800,41406.94,40642.15,40257.43,27152.97102881
"76",1610064000,36565.08,41986.37,39510.55,40665.15,48522.48490272
"77",1609977600,36200,40425,36859.26,39505.56,50346.30569052
"78",1609891200,33352.54,37000,34043.91,36859.26,45744.10320015
"79",1609804800,29891.13,34499.67,32020.22,34030.64,42282.56920027
"80",1609718400,27678,33666.99,33082.84,32019.99,46045.38968508
"81",1609632000,32008.62,34810,32222.88,33080.66,36951.71650628
"82",1609545600,29039,33300,29413.29,32225.91,46675.24652146
"83",1609459200,28700,29688.88,28990.08,29412.84,22211.25251806
"84",1609372800,28000,29321.9,28897.42,28990.08,28813.88691084
"85",1609286400,27311.73,29018.26,27366.35,28897.42,28181.49681491
"86",1609200000,25833.73,27396.77,27039.39,27366.35,20668.10433798
"87",1609113600,26086.19,27477,26255.16,27040.36,21265.70934972
"88",1609027200,25772.55,28387,26482.64,26258.65,33627.00745897
"89",1608940800,24490.01,26822,24704.71,26475.35,24782.44015598
"90",1608854400,23416,24770.95,23718.61,24704.71,15792.47583445
"91",1608768000,22712.89,23785,23226.18,23717.96,16440.75295146
"92",1608681600,22600,24090,23824.13,23228.35,23412.12172023
"93",1608595200,22380.05,23839.78,22729.4,23823.27,18597.6512303
"94",1608508800,21913.84,24118.75,23476.51,22729.4,25728.63855953
"95",1608422400,23100,24300,23850,23476.51,14963.41787144
"96",1608336000,22770,24200,23138.89,23849.99,20577.66441198
"97",1608249600,22329,23280,22826.37,23137.76,24829.23581848
"98",1608163200,21252.01,23776.94,21360.5,22826.48,53602.34952384
"99",1608076800,19300,21569.94,19443.19,21359.65,33350.23500216
"100",1607990400,19051.27,19565,19272.37,19444.6,15345.21212651
"101",1607904000,18967.68,19349.98,19166.65,19272.37,9102.36972564
"102",1607817600,18730,19421.03,18821.28,19166.65,10624.20069187
"103",1607731200,18023.57,18955.34,18044.19,18821.28,8616.1725039
"104",1607644800,17580,18293.08,18257.18,18042.15,16953.63356031
"105",1607558400,17905,18556.42,18546.55,18253.44,14899.20296937
"106",1607472000,17639,18647.33,18316.22,18546.55,20667.36635634
"107",1607385600,18200,19299.51,19177.08,18316.22,15161.86263318
"108",1607299200,18901,19432.57,19375.6,19177.71,8977.45166263
"109",1607212800,18878,19430.25,19158.96,19375.6,6665.28189472
"110",1607126400,18501,19189.98,18658.09,19158.96,7082.22230272
"111",1607040000,18576.05,19546.46,19446.43,18658.1,16382.87739223
"112",1606953600,18885,19625.64,19222.45,19448.64,14648.29683367
"113",1606867200,18335,19340,18778.18,19225.63,16227.13637423
"114",1606780800,18109,19915.14,19713.94,18782.97,30442.86543674
"115",1606694400,18201.47,19873.23,18202.02,19713.94,27293.4791942
"116",1606608000,17535.26,18359,17736.1,18202.04,8932.25029132
"117",1606521600,16880,17933.25,17155.43,17739.85,13157.9519653
"118",1606435200,16400,17475,17169.99,17153.95,23333.98429789
"119",1606348800,16200,18915.48,18717.24,17170,48644.17078197
"120",1606262400,18502,19500,19172.9,18721.93,20485.39373121
"121",1606176000,18052.02,19469,18384.82,19172.84,26623.09452709
"122",1606089600,18001,18777.77,18437.18,18384.82,17655.66362172
"123",1606003200,17610.77,18773.56,18721.21,18437.66,15423.83816127
"124",1605916800,18350,18980,18677.84,18721.21,13604.27139959
"125",1605830400,17764.76,18830.3,17821.92,18675.25,17901.931678
"126",1605744000,17356,18193.29,17790.18,17821.58,17141.49267548
"127",1605657600,17205.02,18488,17679.86,17782.91,32425.98660226
"128",1605571200,16575.42,17880,16726.49,17679.36,25230.22403641
"129",1605484800,15879,16892,15970,16726.64,13948.30524238
"130",1605398400,15796.09,16175.6,16082.01,15966.89,6250.07966791
"131",1605312000,15708.24,16339.6,16339.56,16082.01,9205.916488
"132",1605225600,15975,16491.92,16310.81,16339.56,14593.51518544
"133",1605139200,15446.82,16370.89,15705.79,16310.81,22153.73849401
"134",1605052800,15293.04,16000,15315.46,15705.79,15257.35722584
"135",1604966400,15090.08,15481.06,15342.1,15315.03,13489.67510052
"136",1604880000,14817.14,15856.9,15482.89,15342.25,21951.27612698
"137",1604793600,14721.9,15666,14834.09,15482.9,11856.3281802
"138",1604707200,14310,15779.24,15599.95,14834.09,23552.06912628
"139",1604620800,15190.36,15977.67,15608.06,15599.95,25150.39252742
"140",1604534400,14115,15775,14165.86,15608.21,31865.97472203
"141",1604448000,13530.01,14273.6,14034.35,14161.48,16894.77786852
"142",1604361600,13290,14081.45,13563.22,14035.8,13965.78812958
"143",1604275200,13215,13840,13771.7,13563.22,12191.83070954
"144",1604188800,13630.05,13906.74,13803.69,13771.59,6252.00619492
"145",1604102400,13424.73,14098.92,13571.51,13804.81,12166.30429818
"146",1604016000,13131.31,13687.82,13460,13571.51,15664.29047538
"147",1603929600,12976.29,13650,13281.06,13460,15796.07667651
"148",1603843200,12891.57,13863.87,13740.85,13281.05,21073.3766776
"149",1603756800,13061.28,13793.72,13068.79,13698.18,17267.43967837
"150",1603670400,12785,13250,13045.02,13068.79,12275.35826032
"151",1603584000,12890.76,13361,13126.34,13045,9276.17719938
"152",1603497600,12884.31,13175,12938,13126.24,7915.34663475
"153",1603411200,12722.72,13037,12988.2,12937.09,10450.87207186
"154",1603324800,12698.02,13200,12808.01,12987.02,20337.78966446
"155",1603238400,11900.01,13250.04,11923.07,12808,32404.63293167
"156",1603152000,11685,12050,11760.45,11923.83,13840.02481291
"157",1603065600,11416.04,11833,11514.2,11760.45,10313.23447344
"158",1602979200,11350.37,11523,11367.9,11514.2,4352.09499051
"159",1602892800,11264.75,11421,11328.27,11367.89,3586.1455215
"160",1602806400,11201,11550.01,11509.31,11328.95,9505.26615373
"161",1602720000,11263.15,11641.38,11427.7,11509.34,8538.52039637
"162",1602633600,11290.83,11556.37,11428.22,11427.7,7078.70152873
"163",1602547200,11312.59,11561.45,11535.46,11428.22,8639.21277154
"164",1602460800,11187.6,11736.02,11374.01,11535.46,11056.91558046
"165",1602374400,11276.28,11444.25,11299.52,11374.01,5163.46475688
"166",1602288000,11055.75,11498.98,11057.07,11299.5,9312.75916488
"167",1602201600,10834.49,11111.11,10932.44,11057.07,10098.3991552
